epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2036,4.26232,4.37288,4.19238,0,0,0,0,4.17474,4.45155,4.15958,8.574e-05,8.574e-05,8.574e-05
2,75.1814,4.31481,4.3716,4.18541,0,0,0,0,4.1735,4.44174,4.15727,0.00018485,0.00018485,0.00018485
3,113.857,4.22497,4.30056,4.13908,0.00016,0.00236,8e-05,3e-05,4.17098,4.42399,4.15152,0.000282971,0.000282971,0.000282971
4,151.057,4.25506,4.26933,4.135,0.00016,0.00236,8e-05,4e-05,4.16928,4.40294,4.14383,0.0003801,0.0003801,0.0003801
5,188.229,4.17264,4.07417,4.09877,0.00017,0.00236,8e-05,4e-05,4.16642,4.37594,4.12868,0.00047624,0.00047624,0.00047624
6,223.76,4.28264,3.9448,4.03259,0.00017,0.00236,9e-05,3e-05,4.16276,4.3509,4.11438,0.000571389,0.000571389,0.000571389
7,256.933,4.11021,3.7382,3.89698,0.00017,0.00236,9e-05,3e-05,4.16952,4.36878,4.11529,0.000665548,0.000665548,0.000665548
8,294.088,3.78563,3.57165,3.74339,0.00016,0.00236,8e-05,3e-05,4.19853,4.42078,4.14915,0.000758717,0.000758717,0.000758717
9,332.27,3.71953,3.36005,3.58994,0.00023,0.00355,0.00012,4e-05,4.23229,4.44634,4.1969,0.000850895,0.000850895,0.000850895
10,369.016,3.55439,3.23687,3.47522,0.00032,0.00473,0.00016,4e-05,4.24402,4.44605,4.21317,0.000942083,0.000942083,0.000942083
11,410.45,3.38636,3.17356,3.3251,0.00022,0.00355,0.00011,3e-05,4.25748,4.41987,4.23206,0.00103228,0.00103228,0.00103228
12,448.996,3.32534,3.00327,3.16915,0,0,0,0,4.34457,4.64062,4.36911,0.00112149,0.00112149,0.00112149
13,483.763,3.32328,2.89135,2.97562,0,0,0,0,4.33119,4.61795,4.35915,0.00120971,0.00120971,0.00120971
14,518.637,3.17838,2.8933,2.981,0.00014,0.00118,7e-05,4e-05,4.3066,4.58796,4.34887,0.00129693,0.00129693,0.00129693
15,554.75,3.13768,2.80074,2.90206,0.00148,0.01795,0.00081,0.00024,4.08098,4.31178,4.12299,0.00132997,0.00132997,0.00132997
16,590.724,2.9982,2.53643,2.67663,0.00155,0.01979,0.0009,0.00029,4.1417,4.41293,4.14958,0.0013229,0.0013229,0.0013229
17,622.441,3.02359,2.64382,2.69682,0.34072,0.00797,0.00202,0.00075,4.09589,4.34396,4.08385,0.00131582,0.00131582,0.00131582
18,655.307,2.99833,2.6215,2.63274,0.36138,0.02604,0.00861,0.00253,3.63478,3.89487,3.51254,0.00130875,0.00130875,0.00130875
19,687.56,2.85107,2.4856,2.52956,0.42505,0.06737,0.02532,0.00713,3.27769,3.13425,3.15348,0.00130168,0.00130168,0.00130168
20,719.291,2.77361,2.41192,2.45297,0.51484,0.10738,0.07862,0.02984,2.75851,2.75477,2.60793,0.0012946,0.0012946,0.0012946
21,751.046,2.65777,2.3169,2.38996,0.5371,0.1037,0.08782,0.03331,2.71103,2.74514,2.57575,0.00128753,0.00128753,0.00128753
22,781.743,2.65827,2.32337,2.40776,0.45239,0.11631,0.05186,0.01567,2.84373,4.01606,2.66181,0.00128046,0.00128046,0.00128046
23,812.564,2.59168,2.24206,2.29064,0.58742,0.18096,0.16646,0.06262,2.56638,2.15155,2.29124,0.00127338,0.00127338,0.00127338
24,844.549,2.5343,2.15175,2.24264,0.58208,0.16967,0.14373,0.05926,2.55297,2.43085,2.30512,0.00126631,0.00126631,0.00126631
25,878.535,2.54237,2.08251,2.18438,0.66836,0.16936,0.1781,0.07278,2.56686,2.29902,2.27798,0.00125923,0.00125923,0.00125923
26,910.606,2.49899,2.03431,2.12203,0.64326,0.2417,0.23213,0.09577,2.39766,2.15589,2.11615,0.00125216,0.00125216,0.00125216
27,942.313,2.37986,1.99176,2.11802,0.69469,0.27332,0.26233,0.10842,2.30215,1.93086,2.05884,0.00124509,0.00124509,0.00124509
28,971.799,2.33967,1.95761,2.0981,0.60064,0.26272,0.20096,0.0742,2.49846,2.64159,2.20042,0.00123801,0.00123801,0.00123801
29,1001.96,2.42042,2.00899,2.11253,0.61998,0.26059,0.21475,0.08267,2.43179,2.65862,2.12128,0.00123094,0.00123094,0.00123094
30,1031.33,2.40685,1.87096,2.00134,0.76789,0.28307,0.31971,0.14854,2.12619,1.95363,1.84432,0.00122387,0.00122387,0.00122387
31,1060.47,2.29469,1.87978,1.99564,0.75356,0.29086,0.31771,0.13444,2.15577,1.77037,1.84183,0.00121679,0.00121679,0.00121679
32,1090.5,2.32495,1.92917,2.00693,0.7686,0.30243,0.32681,0.15072,2.11541,1.67577,1.83267,0.00120972,0.00120972,0.00120972
33,1120.14,2.26765,1.86207,1.97493,0.721,0.27491,0.30814,0.13651,2.14623,1.72574,1.87243,0.00120265,0.00120265,0.00120265
34,1150.38,2.28185,1.75864,1.87596,0.79353,0.31546,0.36438,0.17019,2.03692,1.61408,1.78534,0.00119557,0.00119557,0.00119557
35,1179.42,2.22412,1.7971,1.9502,0.8211,0.33399,0.38359,0.17488,1.97311,1.55926,1.71372,0.0011885,0.0011885,0.0011885
36,1210.22,2.18571,1.73351,1.8964,0.82718,0.30492,0.38111,0.17557,2.04109,1.55014,1.74748,0.00118143,0.00118143,0.00118143
37,1240.59,2.19919,1.73607,1.91723,0.82851,0.3086,0.3721,0.17087,2.04124,1.54144,1.77609,0.00117435,0.00117435,0.00117435
38,1272.5,2.11459,1.59337,1.82826,0.73429,0.35844,0.40014,0.1816,2.0285,1.54339,1.77361,0.00116728,0.00116728,0.00116728
39,1303.87,2.13732,1.65082,1.82604,0.84946,0.32291,0.41808,0.17696,2.03674,1.49462,1.76248,0.00116021,0.00116021,0.00116021
40,1337.1,2.19535,1.60138,1.79553,0.84306,0.34703,0.42262,0.19842,1.94578,1.44506,1.70383,0.00115313,0.00115313,0.00115313
41,1368.67,2.08901,1.58559,1.79523,0.82887,0.33957,0.40242,0.1892,1.97412,1.49848,1.69343,0.00114606,0.00114606,0.00114606
42,1400.55,2.09181,1.58218,1.76532,0.84989,0.33001,0.41901,0.19499,1.92592,1.46453,1.65466,0.00113898,0.00113898,0.00113898
43,1433.21,2.05767,1.548,1.78099,0.86895,0.35386,0.44847,0.21468,1.86098,1.38222,1.62592,0.00113191,0.00113191,0.00113191
44,1464.25,2.07262,1.58215,1.80016,0.67917,0.41533,0.44861,0.20604,1.94681,1.46671,1.66296,0.00112484,0.00112484,0.00112484
45,1495.48,2.09439,1.60489,1.75464,0.65945,0.41381,0.45749,0.21289,1.90818,1.43884,1.64701,0.00111776,0.00111776,0.00111776
46,1526.17,2.12116,1.60936,1.81961,0.65771,0.42232,0.45382,0.21777,1.87708,1.44508,1.61799,0.00111069,0.00111069,0.00111069
47,1557.09,2.03677,1.58013,1.74558,0.58289,0.41944,0.42063,0.20252,1.85355,1.45664,1.60166,0.00110362,0.00110362,0.00110362
48,1588.57,2.00859,1.51013,1.72328,0.50951,0.43997,0.46694,0.21625,1.83639,1.41874,1.58724,0.00109654,0.00109654,0.00109654
49,1619.82,2.00472,1.51387,1.70144,0.51555,0.48513,0.4601,0.20015,1.86181,1.43788,1.57285,0.00108947,0.00108947,0.00108947
50,1652.62,2.09614,1.55557,1.69398,0.6778,0.40798,0.39578,0.15965,2.12934,1.48802,1.70295,0.0010824,0.0010824,0.0010824
51,1683.58,2.0299,1.46566,1.69154,0.63725,0.43301,0.48453,0.24046,1.81186,1.35345,1.59158,0.00107532,0.00107532,0.00107532
52,1714.87,2.03133,1.4469,1.70518,0.69136,0.42125,0.48241,0.22832,1.84622,1.40776,1.63105,0.00106825,0.00106825,0.00106825
53,1745.28,1.98448,1.42774,1.67575,0.66789,0.41804,0.47296,0.20973,1.92254,1.48468,1.66623,0.00106118,0.00106118,0.00106118
54,1778.35,2.03547,1.47842,1.67345,0.60958,0.40075,0.45896,0.21482,1.89237,1.37691,1.6231,0.0010541,0.0010541,0.0010541
55,1810.54,1.97333,1.4572,1.69523,0.54895,0.4251,0.44838,0.20885,1.92532,1.36298,1.60262,0.00104703,0.00104703,0.00104703
56,1842.35,1.95176,1.45386,1.65848,0.63967,0.47673,0.50913,0.25279,1.80877,1.30777,1.53916,0.00103995,0.00103995,0.00103995
57,1885.65,1.92196,1.39931,1.62821,0.66265,0.46026,0.50847,0.24267,1.81514,1.28288,1.54002,0.00103288,0.00103288,0.00103288
58,1924.44,1.96046,1.42738,1.63894,0.7046,0.50153,0.54105,0.26551,1.74552,1.25191,1.49904,0.00102581,0.00102581,0.00102581
59,1954.17,1.83142,1.41854,1.64161,0.69722,0.47684,0.51074,0.25552,1.71434,1.24126,1.48821,0.00101873,0.00101873,0.00101873
60,1983.8,1.87484,1.40642,1.63612,0.72595,0.52183,0.56042,0.26191,1.81592,1.21302,1.51888,0.00101166,0.00101166,0.00101166
61,2017.73,1.92337,1.40035,1.6141,0.76768,0.50884,0.55362,0.26789,1.77986,1.20009,1.49319,0.00100459,0.00100459,0.00100459
62,2048.44,1.89286,1.36269,1.55835,0.73119,0.48004,0.54283,0.26896,1.7284,1.228,1.46668,0.000997513,0.000997513,0.000997513
63,2078.04,1.86284,1.39461,1.63243,0.75166,0.54091,0.57727,0.29056,1.71292,1.20869,1.45896,0.00099044,0.00099044,0.00099044
64,2106.67,1.86153,1.30926,1.56822,0.79418,0.48412,0.55191,0.28147,1.70213,1.2061,1.47756,0.000983366,0.000983366,0.000983366
65,2136.18,1.86311,1.30283,1.57111,0.75934,0.4921,0.56193,0.28532,1.6933,1.21997,1.46681,0.000976293,0.000976293,0.000976293
66,2166.1,1.84347,1.31382,1.57148,0.70005,0.54115,0.58061,0.27727,1.7195,1.20731,1.46584,0.000969219,0.000969219,0.000969219
67,2196.53,1.84543,1.30032,1.55597,0.78309,0.50044,0.57244,0.28103,1.72773,1.15025,1.4757,0.000962146,0.000962146,0.000962146
68,2226.05,1.76418,1.23123,1.53682,0.75999,0.48335,0.54071,0.27259,1.72854,1.17068,1.47451,0.000955072,0.000955072,0.000955072
69,2255.07,1.82018,1.28641,1.57514,0.71069,0.4782,0.52445,0.26609,1.7359,1.18353,1.48432,0.000947999,0.000947999,0.000947999
70,2285.3,1.85981,1.32412,1.61906,0.71774,0.50952,0.57361,0.29727,1.69858,1.20121,1.44196,0.000940925,0.000940925,0.000940925
71,2317.12,1.83839,1.26496,1.54413,0.76356,0.51062,0.55544,0.27221,1.7505,1.21691,1.45675,0.000933851,0.000933851,0.000933851
72,2348.03,1.76737,1.25179,1.53517,0.75004,0.46337,0.5372,0.26802,1.73662,1.17532,1.46237,0.000926778,0.000926778,0.000926778
73,2378.48,1.77256,1.26177,1.55613,0.81153,0.47551,0.55134,0.27406,1.73754,1.15568,1.46429,0.000919704,0.000919704,0.000919704
74,2409.6,1.78793,1.21044,1.52926,0.72218,0.51722,0.55971,0.29739,1.69168,1.10309,1.42638,0.000912631,0.000912631,0.000912631
75,2440.61,1.81293,1.2821,1.55578,0.72474,0.53543,0.57906,0.30364,1.5967,1.06034,1.37974,0.000905557,0.000905557,0.000905557
76,2472.92,1.82164,1.26301,1.51844,0.70843,0.51943,0.55815,0.27277,1.68405,1.14745,1.4281,0.000898484,0.000898484,0.000898484
77,2504.41,1.74367,1.23502,1.51411,0.72299,0.53803,0.57181,0.28762,1.65092,1.13659,1.41751,0.00089141,0.00089141,0.00089141
78,2537.14,1.80923,1.24705,1.52953,0.71944,0.55101,0.6003,0.31804,1.57614,1.05043,1.37695,0.000884337,0.000884337,0.000884337
79,2567.78,1.74873,1.23723,1.52518,0.78554,0.52172,0.60632,0.32127,1.56801,1.06848,1.3708,0.000877263,0.000877263,0.000877263
80,2598.95,1.73741,1.25031,1.52349,0.77499,0.55155,0.60633,0.31853,1.61609,1.07847,1.3922,0.00087019,0.00087019,0.00087019
81,2631.19,1.74143,1.21617,1.4766,0.75722,0.52659,0.58388,0.31176,1.5903,1.05127,1.37922,0.000863116,0.000863116,0.000863116
82,2661.97,1.7484,1.21938,1.51488,0.76112,0.53871,0.60173,0.32372,1.56822,1.01603,1.35184,0.000856042,0.000856042,0.000856042
83,2692.76,1.74608,1.22157,1.48039,0.80788,0.52983,0.59871,0.32642,1.55437,1.08019,1.34294,0.000848969,0.000848969,0.000848969
84,2722.43,1.70967,1.19481,1.47436,0.78804,0.52283,0.60151,0.32267,1.58155,1.07603,1.36832,0.000841895,0.000841895,0.000841895
85,2752.17,1.70264,1.24104,1.52255,0.78161,0.542,0.60789,0.31947,1.53174,1.05744,1.34362,0.000834822,0.000834822,0.000834822
86,2781.8,1.70155,1.1878,1.50681,0.81045,0.5406,0.60978,0.33309,1.51437,1.04419,1.33628,0.000827748,0.000827748,0.000827748
87,2813,1.80298,1.26015,1.53831,0.74189,0.50196,0.58287,0.32086,1.55979,1.05596,1.35759,0.000820675,0.000820675,0.000820675
88,2844.26,1.73054,1.20825,1.49832,0.75729,0.55452,0.60767,0.32686,1.56822,1.03641,1.34999,0.000813601,0.000813601,0.000813601
89,2874.74,1.67893,1.1704,1.44243,0.69966,0.56796,0.61234,0.3312,1.5416,1.03436,1.33619,0.000806528,0.000806528,0.000806528
90,2908.15,1.68293,1.13058,1.4249,0.73465,0.53143,0.60032,0.31112,1.56716,1.01099,1.35198,0.000799454,0.000799454,0.000799454
91,2939.6,1.71408,1.15588,1.52057,0.757,0.55524,0.59681,0.30904,1.57117,1.02008,1.344,0.00079238,0.00079238,0.00079238
92,2969.15,1.75685,1.13534,1.47496,0.77632,0.55059,0.62425,0.34519,1.52807,0.98571,1.32659,0.000785307,0.000785307,0.000785307
93,3000.19,1.70297,1.12968,1.43978,0.75719,0.5633,0.62116,0.32874,1.61847,1.00641,1.37137,0.000778233,0.000778233,0.000778233
94,3029.27,1.65369,1.11096,1.42158,0.8182,0.58064,0.64467,0.3464,1.55499,0.99274,1.33761,0.00077116,0.00077116,0.00077116
95,3058.31,1.6479,1.10293,1.41382,0.84539,0.55971,0.63437,0.33665,1.50634,0.98757,1.31817,0.000764086,0.000764086,0.000764086
96,3088.46,1.75626,1.1689,1.46805,0.83123,0.57568,0.63989,0.33798,1.52628,0.97938,1.33247,0.000757013,0.000757013,0.000757013
97,3118.56,1.62634,1.11704,1.41271,0.80455,0.58392,0.64073,0.34205,1.51596,0.96713,1.32269,0.000749939,0.000749939,0.000749939
98,3147.6,1.60726,1.11121,1.44219,0.8093,0.59108,0.6441,0.34371,1.51365,0.96408,1.31707,0.000742866,0.000742866,0.000742866
99,3179.05,1.65877,1.11609,1.44269,0.80012,0.57423,0.63905,0.35653,1.44717,0.95363,1.28803,0.000735792,0.000735792,0.000735792
100,3211.43,1.63024,1.12286,1.44368,0.80823,0.57617,0.63798,0.33805,1.45817,0.97688,1.29148,0.000728719,0.000728719,0.000728719
